1.70298E+18,1.7031E+18,2023-09-16 17:37:36+00:00,@richardbranson womenrights are human rights🙋‍♀️
1.70298E+18,1.703E+18,2023-09-16 10:37:24+00:00,@richardbranson #ما_ملت_کبیریم_ایران_را_پس_میگیریم #RezaPahlaviIsMyRepresentative
1.70298E+18,1.70303E+18,2023-09-16 13:00:51+00:00,@richardbranson Thank you !
1.70298E+18,1.70328E+18,2023-09-17 05:48:04+00:00,@richardbranson .@RishiSunak please proscribe #IRGCterrorists and stand on the right side of the history.
1.70298E+18,1.70298E+18,2023-09-16 09:39:00+00:00,@richardbranson 💪🏽
1.70298E+18,1.70304E+18,2023-09-16 13:29:36+00:00,@richardbranson Thank you Richard.  #مهسا_امینی
1.70298E+18,1.70315E+18,2023-09-16 20:43:20+00:00,@richardbranson It's important to remember the tragic loss of Mahsa Amini and the ongoing struggles for freedom in Iran. Let's stand together in supporting the fight for women's rights and human dignity. #MahsaAmini #WomenLifeFreedom
1.70298E+18,1.70306E+18,2023-09-16 14:42:28+00:00,@richardbranson Thank you Mr. Branson for your support. Hopefully soon Iran will be free of Mullahs.
1.70298E+18,1.70298E+18,2023-09-16 09:38:37+00:00,@richardbranson 💯
1.70298E+18,1.70301E+18,2023-09-16 11:49:06+00:00,"@richardbranson Thank you 🙏 I teach my business students about you as a leader, both in life and business."
1.70298E+18,1.70298E+18,2023-09-16 09:37:58+00:00,@richardbranson One year on and no resolution ✌🏼🕊️
1.70298E+18,1.70302E+18,2023-09-16 12:17:09+00:00,@richardbranson Says the guy kissing the floor when he landed in the Zionist apartheid state of Israel. 🤡🤡🤡
1.70298E+18,1.70298E+18,2023-09-16 09:42:11+00:00,@richardbranson 💯 - we must come together as human beings
1.70298E+18,1.70298E+18,2023-09-16 09:37:37+00:00,@richardbranson https://t.co/iS7PC3Xxtm
1.70298E+18,1.70304E+18,2023-09-16 13:23:59+00:00,@richardbranson You should do this for women in the North West of England.
1.70298E+18,1.70298E+18,2023-09-16 09:43:31+00:00,@richardbranson “Those who deny freedom to others deserve it not for themselves.” – Abraham Lincoln
1.70298E+18,1.70309E+18,2023-09-16 16:46:48+00:00,@richardbranson ❤️🕊🕯️
